"","Sp","Limb_width","Limb_length","Observer","Volume"
"1","C.stelleri",1.0072358828038,13.1846729898825,"Rachel D",3.50187280558557
"2","T.migratorius",1.05678066238761,9.75338225252926,"Rachel D",2.85163270782834
"3","C.stelleri",4.88857252150774,10.0230911024846,"Micaiah E",62.7096575295614
"4","C.cristata",3.22415673080832,8.70256118476391,"Micaiah E",23.6836155468091
"5","P.erythrophthalmus",2.10751127451658,11.1371120065451,"Chance G",12.9503357281014
"6","C.stelleri",3.8054320840165,12.2975042951293,"Chance G",46.6222855991473
"7","T.migratorius",3.64878736902028,7.23295286064968,"Micaiah E",25.2104950007905
"8","Z.macroura",4.17334733065218,5.88960362132639,"Rachel D",26.8549133441865
"9","Z.macroura",4.88201140519232,5.56670783320442,"Rachel D",34.7347865231864
"10","T.migratorius",2.73479566443712,8.55770125286654,"Chance G",16.7561991511094
"11","C.stelleri",2.8226746302098,11.2701358343475,"Chance G",23.5082021648598
"12","C.stelleri",1.35594278946519,6.15650836611167,"Micaiah E",2.96336967675691
"13","P.erythrophthalmus",2.03152300231159,11.1264084256254,"Chance G",12.0217339554303
"14","T.migratorius",1.54715087544173,9.69368546269834,"Micaiah E",6.07467272622507
"15","C.cristata",4.95740326866508,8.96267294185236,"Micaiah E",57.6653155718844
"16","P.erythrophthalmus",1.10009666346014,10.7018910208717,"Chance G",3.39071155117703
"17","P.erythrophthalmus",4.50556306075305,12.6330432598479,"Micaiah E",67.1389824796752
"18","T.migratorius",3.0588863492012,6.71963477740064,"Rachel D",16.4604225068892
"19","P.erythrophthalmus",1.58524095173925,7.88453602232039,"Rachel D",5.18722796275028
"20","C.stelleri",4.82711584120989,6.57044155988842,"Rachel D",40.0810071427706
"21","Z.macroura",1.074248845689,9.89345061592758,"Micaiah E",2.98900201853262
"22","C.stelleri",2.05122971720994,9.01228617876768,"Chance G",9.92732408746608
"23","T.migratorius",4.35069508105516,8.16510109230876,"Chance G",40.4620130974249
"24","C.stelleri",1.2597174262628,8.26992636779323,"Micaiah E",3.43571035495767
"25","C.stelleri",3.44684227649122,6.40703424578533,"Micaiah E",19.9282193144775
"26","P.erythrophthalmus",3.48513025604188,11.3789453660138,"Chance G",36.1833412172657
"27","C.stelleri",3.62528812233359,11.4050301793031,"Chance G",39.2419085852937
"28","Z.macroura",4.61287376284599,6.96777878561988,"Chance G",38.8155836043605
"29","T.migratorius",2.52088175341487,11.1600187350996,"Micaiah E",18.566861589127
"30","C.stelleri",3.53103685658425,12.5822466774844,"Chance G",41.0706260931745
"31","C.cristata",4.59510512836277,5.28425245778635,"Micaiah E",29.2107755875638
"32","T.migratorius",2.81286848988384,9.90572235081345,"Rachel D",20.518879152166
"33","T.migratorius",4.71085687167943,13.5778579954058,"Micaiah E",78.8859586795456
"34","C.stelleri",1.85089046601206,6.71959947794676,"Chance G",6.02661503981308
"35","P.erythrophthalmus",2.19767544418573,10.474886377342,"Rachel D",13.2447894459093
"36","Z.macroura",4.98662667348981,5.51107177510858,"Rachel D",35.8771887437476
"37","T.migratorius",3.00878329668194,13.1064127432182,"Rachel D",31.0623483643734
"38","C.cristata",4.08745327498764,8.20771750994027,"Rachel D",35.9001802865816
"39","P.erythrophthalmus",2.49274126067758,8.81938312668353,"Micaiah E",14.3470047041195
"40","C.stelleri",2.28877088520676,7.32139087514952,"Micaiah E",10.0407663446432
"41","C.stelleri",3.77250803261995,8.12557377154008,"Micaiah E",30.2749204437171
"42","C.cristata",4.91280479542911,14.0317531814799,"Chance G",88.6624198138942
"43","C.cristata",1.41462597064674,8.6253884411417,"Chance G",4.51887723444502
"44","P.erythrophthalmus",1.34942794591188,9.53758230665699,"Micaiah E",4.54680496215825
"45","C.cristata",2.99288329388946,11.4819923904724,"Micaiah E",26.925603455471
"46","C.stelleri",3.5377935692668,11.3102754834108,"Rachel D",37.0601170042557
"47","C.stelleri",2.2013526679948,13.459358967375,"Chance G",17.0754536836349
"48","P.erythrophthalmus",1.56242027319968,12.0986858103424,"Rachel D",7.73219069707513
"49","Z.macroura",4.42530781868845,11.9753783778287,"Chance G",61.3966734498633
"50","C.stelleri",4.51337239984423,14.4564905483276,"Chance G",77.0963541239247
"51","C.stelleri",1.14775104168802,12.6441949838772,"Micaiah E",4.36068988274724
"52","C.cristata",3.87112663686275,7.3359776288271,"Rachel D",28.7807019719702
"53","C.stelleri",2.45796990860254,5.27655184501782,"Chance G",8.34587661614447
"54","P.erythrophthalmus",3.64195613656193,5.96638268791139,"Chance G",20.7180632351038
"55","C.cristata",1.09948192350566,10.0289383763447,"Micaiah E",3.17394777528673
"56","Z.macroura",1.54013670701534,9.74420885788277,"Rachel D",6.05109197723307
"57","C.stelleri",3.21354007162154,9.22988184262067,"Micaiah E",24.9535424503581
"58","P.erythrophthalmus",1.899214358069,5.40960468351841,"Micaiah E",5.10836741353958
"59","P.erythrophthalmus",2.49392229598016,10.7847133651376,"Rachel D",17.5607503713913
"60","C.stelleri",1.70650107692927,14.3244855757803,"Rachel D",10.9209594475639
"61","C.stelleri",2.77626509591937,5.6575899454765,"Chance G",11.4162102869619
"62","C.stelleri",4.67583916895092,14.9443987756968,"Micaiah E",85.5394008017953
"63","C.cristata",3.84847950749099,7.06768869655207,"Micaiah E",27.4046585723848
"64","Z.macroura",3.02390436641872,10.0909253116697,"Rachel D",24.156595247469
"65","C.cristata",2.8178474213928,8.16802615765482,"Rachel D",16.9793356523863
"66","C.cristata",3.94793093390763,8.61121506430209,"Chance G",35.137604910546
"67","P.erythrophthalmus",2.91675270721316,14.6490256721154,"Rachel D",32.6269581594403
"68","C.cristata",4.46306152548641,12.5891509093344,"Chance G",65.649407963357
"69","Z.macroura",1.60328168794513,13.6680660583079,"Chance G",9.19804140570055
"70","T.migratorius",4.51715059112757,14.7601604205556,"Micaiah E",78.8476660822455
"71","Z.macroura",2.40709839761257,10.1019664644264,"Rachel D",15.3236504488784
"72","Z.macroura",1.23149184044451,11.5675883018412,"Chance G",4.59276820543391
"73","Z.macroura",4.09149415511638,12.1783575322479,"Chance G",53.3729511339897
"74","C.stelleri",1.55240386724472,9.87095098942518,"Chance G",6.22783437292328
"75","T.migratorius",3.05760712083429,14.1812931769527,"Rachel D",34.7094573888972
"76","Z.macroura",2.45916611049324,11.0044827219099,"Micaiah E",17.4226410826792
"77","C.stelleri",4.64764493517578,12.4153565522283,"Chance G",70.2091486771752
"78","T.migratorius",1.91744091175497,9.37415089923888,"Rachel D",9.02286679553084
"79","P.erythrophthalmus",4.2107865260914,9.37428774079308,"Micaiah E",43.5144356821674
"80","C.cristata",4.51185490656644,8.55915596242994,"Rachel D",45.6152245143153
"81","T.migratorius",4.53073551598936,13.0062230117619,"Chance G",69.8967921326307
"82","T.migratorius",3.84740493167192,9.38197855604812,"Rachel D",36.3579055652335
"83","C.stelleri",1.80181465856731,11.5304181654938,"Micaiah E",9.8001769214291
"84","Z.macroura",4.48500275798142,8.06037513306364,"Rachel D",42.447225651776
"85","P.erythrophthalmus",3.69282712414861,11.8313619773835,"Rachel D",42.2397483836401
"86","C.cristata",3.23195544816554,14.4075066503137,"Micaiah E",39.3992710120346
"87","T.migratorius",1.46783645637333,12.9504497838207,"Micaiah E",7.3048082260654
"88","C.cristata",1.79690266773105,5.60491129523143,"Chance G",4.73790640587775
"89","Z.macroura",3.82326920237392,12.7476124744862,"Chance G",48.7828575165793
"90","C.cristata",3.68359400611371,14.6831051213667,"Rachel D",52.1590953007487
"91","P.erythrophthalmus",1.60418915189803,14.1872726636939,"Chance G",9.5582567556498
"92","P.erythrophthalmus",4.2107507372275,11.7137241410092,"Micaiah E",54.3729236153967
"93","P.erythrophthalmus",2.05587258841842,12.2692668950185,"Rachel D",13.5762439279964
"94","P.erythrophthalmus",1.90213459264487,10.0680843368173,"Chance G",9.53669644358735
"95","Z.macroura",3.82238709181547,11.79795777658,"Micaiah E",45.1278658587823
"96","T.migratorius",3.656942140311,12.4839328415692,"Rachel D",43.7075263834359
"97","C.stelleri",2.18159733619541,10.2251546736807,"Chance G",12.7405360821203
"98","T.migratorius",2.05041675735265,14.4697669916786,"Micaiah E",15.9262837624445
"99","Z.macroura",1.36861711088568,9.79260155698284,"Rachel D",4.8020938297139
"100","C.stelleri",4.18577183224261,8.11773713910952,"Rachel D",37.2352876476719
